Disease,Content
hyperbilirubinemia,"Hyperbilirubinemia refers to an excess of bilirubin in the blood, which can cause jaundice, a yellowing of the skin and eyes. This condition can arise from various causes, such as liver diseases (like cirrhosis or autoimmune hepatitis), gallbladder issues (such as gallstones), certain infections (like viral hepatitis), or genetic conditions like Gilbert’s syndrome or Dubin-Johnson syndrome. In some cases, it can also result from medications, toxins, or hemolytic anemia, where the breakdown of red blood cells releases more bilirubin than the liver can process.Symptoms of hyperbilirubinemia often include yellowing of the skin and the whites of the eyes (scleral icterus), darker urine, and occasionally abdominal pain or fatigue. The condition itself can indicate an underlying problem with the liver or biliary system, and untreated, it can lead to complications such as hepatic encephalopathy (brain dysfunction due to liver failure)​."
hypercholesterolemia,"Hypercholesterolemia, or high cholesterol, is a condition where cholesterol levels in the blood are elevated, leading to a higher risk of heart disease and stroke. High cholesterol typically does not show symptoms, so it’s diagnosed through blood tests like a lipid panel. The condition can lead to the buildup of plaque in arteries (atherosclerosis), restricting blood flow. It can result from unhealthy lifestyle choices (poor diet, lack of exercise), genetics, or other conditions like diabetes or hypothyroidism. Treatment often involves lifestyle changes (diet, exercise) and medications such as statins to lower LDL (bad) cholesterol levels."
hyperglycemia,"High blood sugar (hyperglycaemia) occurs when the sugar level in your blood is too high, commonly affecting people with diabetes. If untreated, it can be serious. Symptoms usually develop gradually and may begin when blood sugar levels become very high. Common symptoms include: feeling very thirsty, frequent urination, weakness or tiredness, blurred vision, and weight loss. Causes of high blood sugar include: being unwell, feeling stressed, eating too much sugary or starchy food, being less active than usual, missing doses of diabetes medicine. Other factors include ineffective diabetes medicine, certain medications (e.g., steroids), or having recently undergone surgery."
hyperlipidemia,"Hyperlipidemia is a condition characterized by elevated levels of lipids (fats), especially cholesterol, in the blood. High cholesterol is often linked to an increased risk of heart disease, stroke, and peripheral artery disease. It can result from factors such as a poor diet, lack of exercise, and genetic predisposition. Treatment focuses on lifestyle changes like adopting a heart-healthy diet, regular exercise, and medications such as statins to reduce cholesterol levels. It's crucial to monitor cholesterol regularly, especially for those at high risk"
hypertension,"Hypertension is a chronic condition where the force of blood against the walls of your arteries is consistently too high. It often has no symptoms but can lead to serious health complications such as heart disease, kidney disease, stroke, and eye problems. Risk factors include being overweight, lack of physical activity, excessive salt intake, smoking, and excessive alcohol use. Managing hypertension involves reducing sodium intake, increasing physical activity, taking prescribed medications (e.g., ACE inhibitors, beta-blockers), and regular monitoring of blood pressure​"
hypertension pulmonary,"Pulmonary hypertension is a type of high blood pressure that affects the arteries in the lungs and the right side of the heart. It can cause symptoms like shortness of breath, fatigue, chest pain, and dizziness. Pulmonary hypertension can be caused by chronic lung diseases, blood clots in the lungs, or heart conditions. Treatment options may include medications to relax the blood vessels in the lungs, oxygen therapy, and in severe cases, a lung or heart-lung transplant."
hypertensive disease,"Hypertensive disease refers to complications caused by long-term high blood pressure. It includes hypertensive heart disease, stroke, kidney failure, and an increased risk of cardiovascular events. It is a leading cause of death globally. People with hypertensive disease may experience chest pain, shortness of breath, or organ damage. Treatment typically involves managing blood pressure through lifestyle modifications, medications, and regular health checkups."
hypoglycemia,"Hypoglycemia occurs when blood glucose levels drop below normal levels. It is most common in people with diabetes, especially when taking insulin or other diabetes medications. Symptoms include dizziness, sweating, shakiness, confusion, and in severe cases, loss of consciousness. Treatment involves immediate consumption of glucose or sugar, and prevention includes adjusting medication, eating regular meals, and monitoring blood sugar levels closely."
ileus,"Ileus is a condition in which the normal movement of the intestines is disrupted, leading to a build-up of food, fluids, and gas within the intestines. It is often caused by surgery, medications, infections, or abdominal trauma. Symptoms include abdominal bloating, pain, nausea, vomiting, and inability to pass gas or stool. Treatment typically involves fasting the patient to allow the bowel to rest, fluid replacement, and addressing the underlying cause​."
incontinence,"Incontinence refers to the inability to control bodily functions, particularly the bladder and bowels. It can result from conditions like aging, neurological disorders, or pelvic floor weakness. Symptoms include urinary leaks, frequent urges to urinate, and inability to control bowel movements. Treatment may include physical therapy, medications, bladder training, or surgery, depending on the type and severity of incontinence​"
infection,"Infection refers to the invasion and multiplication of microorganisms such as bacteria, viruses, fungi, or parasites in the body, often leading to disease. Infections can affect various parts of the body, including the skin, respiratory system, urinary tract, and internal organs. They are typically characterized by symptoms such as fever, pain, swelling, and fatigue, although some infections may not exhibit noticeable symptoms."
 infection urinary tract,"Urinary Tract Infection (UTI): UTIs are infections that affect any part of the urinary system, including the kidneys, bladder, and urethra. UTIs are more common in women and are often caused by bacteria entering the urinary tract. Symptoms include a frequent urge to urinate, painful urination, cloudy or strong-smelling urine, and lower abdominal pain. UTIs are usually treated with antibiotics, and drinking plenty of fluids can help flush out the bacteria"
influenza,"Influenza, commonly known as the flu, is a contagious viral infection that affects the respiratory system. It is characterized by symptoms like fever, chills, body aches, sore throat, cough, and fatigue. Flu can lead to serious complications, particularly in the elderly, children, and those with weakened immune systems. Annual flu vaccination is the most effective way to prevent the flu, and antiviral medications may reduce the severity of symptoms if taken early​"
 insufficiency renal,"Renal insufficiency, or kidney failure, occurs when the kidneys can no longer adequately filter waste and excess fluids from the blood. It can be caused by diabetes, hypertension, infections, or other kidney diseases. Symptoms include fatigue, swelling, changes in urination, and high blood pressure. Treatment options include medications to control symptoms, dialysis, and, in severe cases, kidney transplantation"
ischemia,"Ischemia refers to restricted blood flow to tissues, commonly caused by blockages in blood vessels. It may affect areas like the heart (causing chest pain, shortness of breath) or brain (potentially leading to a stroke). Treatment focuses on restoring blood flow through medications, lifestyle adjustments, or surgery if necessary"
ketoacidosis diabetic,"A dangerous complication of diabetes, DKA results from high blood sugar and ketone accumulation, making the blood acidic. Symptoms include nausea, vomiting, abdominal pain, fruity-smelling breath, and confusion. It’s a medical emergency requiring immediate. treatment with fluids, insulin, and electrolyte replacement to prevent coma or death"
kidney disease,"Chronic kidney disease (CKD) is a long-term condition where the kidneys do not function as well as they should. It’s common, often linked with aging, and more prevalent in individuals who are black or of South Asian origin. CKD can worsen over time, but complete kidney failure is uncommon, and many people with CKD live long lives. Early stages usually have no symptoms and may only be detected through blood or urine tests. Advanced CKD symptoms can include tiredness, swollen ankles, feet or hands, shortness of breath, nausea, and blood in urine. See a GP if you have persistent or concerning symptoms that may indicate kidney disease."
kidney failure acute,"Chronic kidney disease (CKD) is a long-term condition where the kidneys do not function as well as they should. It’s common, often linked with aging, and more prevalent in individuals who are black or of South Asian origin. CKD can worsen over time, but complete kidney failure is uncommon, and many people with CKD live long lives. Early stages usually have no symptoms and may only be detected through blood or urine tests. Advanced CKD symptoms can include tiredness, swollen ankles, feet or hands, shortness of breath, nausea, and blood in urine. See a GP if you have persistent or concerning symptoms that may indicate kidney disease."
lymphatic diseases,"These refer to disorders affecting the lymphatic system, a part of the immune system comprising lymph nodes, vessels, and lymph fluid. Common lymphatic diseases include lymphedema (swelling due to lymph fluid buildup), lymphangitis (infection in lymph vessels), and lymphadenopathy (swollen lymph nodes). Lymphatic diseases can stem from infections, cancer, or immune system issues and cause symptoms like swelling, fever, fatigue, and pain. Treatment depends on the specific condition and may include antibiotics, physical therapy, or, in cancer cases, surgery, chemotherapy, or radiation"
lymphoma,"Hodgkin lymphoma is an uncommon cancer that develops in the lymphatic system, a network of vessels and glands throughout your body. The lymphatic system is part of the immune system, carrying lymph fluid that contains infection-fighting white blood cells called lymphocytes. In Hodgkin lymphoma, B-lymphocytes (a type of lymphocyte) multiply abnormally and collect in certain parts of the lymphatic system, like lymph nodes. These affected lymphocytes lose their infection-fighting abilities, increasing vulnerability to infection. The most common symptom is painless swelling in a lymph node, typically in the neck, armpit, or groin."
malignant neoplasm of breast,"This cancer begins in breast cells and can spread to surrounding tissue. Symptoms include a lump in the breast, changes in breast shape, or skin dimpling. Factors such as genetics, hormone therapy, and lifestyle may contribute to risk. Treatment options are surgery, radiation, chemotherapy, and hormone therapy, often determined by cancer stage and subtype. Regular screenings are crucial, as early-stage breast cancer has a better survival rate​"
malignant neoplasm of lung,"Carcinoma of Lung  or Lung cancer is one of the most common and serious cancers, with over 43,000 cases diagnosed annually in the UK. Symptoms often don’t appear in early stages, but may include a persistent cough, coughing up blood, persistent breathlessness, unexplained fatigue, weight loss, and pain when breathing or coughing. Types of lung cancer include primary lung cancer, which originates in the lungs, and secondary lung cancer, which spreads to the lungs from other areas. Primary lung cancer has two main forms: non-small-cell lung cancer (80-85% of cases), which includes squamous cell carcinoma, adenocarcinoma, and large-cell carcinoma; and small-cell lung cancer, which spreads more quickly. The type of lung cancer affects the recommended treatments."
malignant neoplasm of prostate,"Prostate cancer affects the prostate gland in men, with risk increasing with age, family history, and race (higher in African American men). Symptoms may include difficulty urinating, blood in urine, and pelvic pain. Prostate cancer is often slow-growing, but aggressive forms exist. Treatment ranges from active surveillance in low-risk cases to surgery, radiation, or hormone therapy. PSA screenings can help detect it early​"
malignant neoplasms,"Malignant neoplasms, or cancerous tumors, occur when cells grow uncontrollably, invading nearby tissues and spreading. Symptoms vary depending on the type but may include unexplained weight loss, fatigue, lumps, or organ-specific symptoms. Factors like genetics, environment, and lifestyle contribute to cancer risk. Treatment typically includes surgery, chemotherapy, radiation, or targeted therapies, often tailored to the cancer’s type and stage​"
malignant tumor of colon,"Colon cancer begins in the large intestine, often as polyps that become cancerous over time. Symptoms can include changes in bowel habits, blood in stool, and abdominal discomfort. Risk factors include age, diet, family history, and conditions like inflammatory bowel disease. Screening tests like colonoscopies are essential, as early detection significantly improves outcomes. Treatments may involve surgery, chemotherapy, and radiation, depending on the stage"
manic disorder,"Manic disorder, part of bipolar disorder, involves extreme mood elevation (mania), where individuals may experience high energy, reduced need for sleep, impulsiveness, and sometimes psychosis. Triggers can include stress, genetics, or lifestyle. Diagnosis requires a mental health professional’s assessment, and treatment includes mood stabilizers, psychotherapy, and lifestyle modifications to manage symptoms and reduce mania frequency. Early treatment helps stabilize mood and improve life quality"
migraine disorders,"Migraines are a type of neurological disorder characterized by severe headaches, often accompanied by nausea, sensitivity to light and sound, and sometimes aura (visual or sensory disturbances). They can be triggered by factors such as stress, hormonal changes, certain foods, or environmental stimuli. Migraines may last from hours to days and can be debilitating. Treatment involves medications to alleviate symptoms, preventive drugs, lifestyle changes, and avoiding known triggers. Early treatment at symptom onset often reduces severity​"
mitral valve insufficiency,"Also known as mitral regurgitation, this occurs when the mitral valve in the heart doesn’t close tightly, allowing blood to flow backward in the heart. This can lead to symptoms like fatigue, shortness of breath, and palpitations. Causes include valve prolapse, infections, or damage from a heart attack. Treatment ranges from medications to manage symptoms to surgical repair or replacement for severe cases"
myocardial infarction,"Heart Attack or A myocardial infarction occurs when blood flow to part of the heart is blocked, usually due to a clot, causing damage to heart muscle tissue. Symptoms include chest pain, shortness of breath, nausea, and sweating. Immediate medical attention is essential to restore blood flow and limit damage. Treatment involves medications, lifestyle changes, and sometimes procedures like angioplasty or bypass surgery"
neoplasm,"A neoplasm is an abnormal and excessive growth of tissue, formed through a process called neoplasia. Unlike normal tissue, a neoplasm grows uncoordinatedly and continues to grow abnormally, even if the original trigger is removed. This abnormal growth usually forms a mass, often referred to as a tumor. Neoplasms can be benign (non-cancerous) or malignant (cancerous)."
neoplasm metastasis,"Metastasis refers to the spread of cancer cells from the primary site to other body parts, commonly affecting organs like the lungs, liver, and bones. Symptoms vary based on the organs involved and may include pain, fatigue, and organ-specific symptoms. Treatment focuses on controlling the spread and alleviating symptoms, using a combination of chemotherapy, radiation, and targeted therapies​."
neuropathy,"Neuropathy, or nerve damage, affects the peripheral nerves, causing pain, tingling, numbness, and muscle weakness. It’s commonly associated with diabetes, infections, or injury. Types include peripheral, autonomic, and focal neuropathy, depending on affected nerves. Treatment involves managing symptoms, controlling underlying causes, and lifestyle adjustments to reduce pain and improve nerve function"
neutropenia,"Neutropenia is a low level of neutrophils, a type of white blood cell important for fighting infections. It can result from bone marrow disorders, chemotherapy, infections, or autoimmune diseases. Symptoms include frequent infections, fever, and chills. Treatment depends on the cause and may include medications to stimulate white blood cell production, antibiotics, or lifestyle changes to reduce infection risk​"
obesity morbid,"This severe form of obesity significantly increases the risk of conditions like heart disease, diabetes, and sleep apnea. Body mass index (BMI) over 40 typically indicates morbid obesity. Symptoms include fatigue, joint pain, and shortness of breath. Treatment focuses on weight loss through lifestyle changes, medical interventions, or bariatric surgery for long-term improvement in health"
oral candidiasis,"Oral thrush is usually harmless. It's common in babies and also older people with dentures. It can be treated with antifungal mouth gel. Other symptoms in adults are: cracks at the corners of the mouth, not tasting things properly, an unpleasant taste in the mouth, pain inside the mouth (for example, a sore tongue or sore gums), difficulty eating and drinking. Oral thrush in adults is not contagious."
osteoarthristis,"Osteoarthritis is a condition that causes joints to become painful and stiff. It's the most common type of arthritis in the UK. Symptoms of osteoarthritis include joint pain, stiffness, and problems moving the joint. Some people also have symptoms such as swelling, tenderness, and a grating or crackling sound when moving the affected joints. The severity of symptoms can vary greatly between individuals and affected joints. Some people experience mild, occasional symptoms, while others face continuous, severe issues that interfere with daily activities. Commonly affected joints include the knees, hips, and small joints of the hands. See your GP if you have persistent symptoms for diagnosis and treatment."
overload fluid,"overload fluid or Hypervolemia, also known as fluid overload, is a condition where there’s an excess of fluid volume in the body, affecting the functioning of organs. It's commonly seen in individuals with heart and kidney conditions or in pregnancy. Treatment aims to reduce fluid levels in the body. Signs and symptoms of hypervolemia vary, ranging from swelling in the arms and legs, stomach bloating, mild discomfort like cramping or headaches, and quick weight gain. Severe symptoms needing urgent care include high blood pressure, shortness of breath, and heart failure. Seek emergency treatment if you experience severe symptoms."
pancreatitis,"Acute pancreatitis is a condition where the pancreas becomes inflamed over a short period of time. Located behind the stomach, the pancreas aids digestion. Most people recover within a week without further issues, but severe cases can lead to serious complications. Acute pancreatitis differs from chronic pancreatitis, where long-term inflammation causes permanent damage. Common symptoms include sudden severe pain in the center of the abdomen, nausea or vomiting, and a high fever of 38°C or more."
pancytopenia,"Pancytopenia describes having low levels of all three blood cell types: red blood cells, white blood cells, and platelets, with each type associated with specific conditions. Low red blood cells or hemoglobin, called anemia, means less oxygen is transported to body tissues, causing symptoms like fatigue, shortness of breath, dizziness, headache, irregular heartbeat, and pale skin. Low white blood cells, or leukopenia, weakens the body's infection defense, and low neutrophils is termed neutropenia. Low platelets, or thrombocytopenia, impacts blood clotting. Symptoms vary in severity, from unnoticed in mild cases to potentially life-threatening in severe cases requiring emergency care."
paralysis (brain hemorrhage),"A brain bleed (intracranial hemorrhage) is a type of stroke where blood pools between the brain and skull, cutting off oxygen to the brain. This life-threatening condition requires immediate treatment; contact emergency services if you experience a sudden headache, confusion, and numbness on one side of your body. Symptoms vary by type but can include sudden tingling, weakness, numbness, or paralysis on one side, a severe headache, nausea, vomiting, confusion, dizziness, slurred speech, sleepiness, difficulty swallowing, vision loss, stiff neck, sensitivity to light, loss of balance, trouble breathing, seizures, and even loss of consciousness or coma."
paranoia,"Paranoia involves feelings of distrust and suspicion about others without a good reason, often involving thoughts that others are out to harm you. It can also extend to concerns about threats to other people, culture, or society. Paranoia varies in severity, can be temporary or long-lasting, and is the most common symptom of psychosis, affecting over 70% of people with psychosis. However, mild paranoia is common even in the general population. Paranoia can be a type of delusion, an unshakeable belief in something untrue, though not all delusions involve harm or threats. Types of paranoia include mistrust (over-suspicion without evidence), interpersonal sensitivity (assigning negative meanings to others’ remarks), ideas of reference (false beliefs that random events relate to you), and persecutory beliefs (belief that someone is trying to harm or spy on you). The severity of paranoia depends on how strongly you believe, think about, feel distressed by, or experience life disruption due to the paranoid thoughts. Many experience mild, nonclinical paranoia at times, which is typically temporary. Severe paranoia, such as persecutory delusions, is rare and is considered clinically significant."
paroxysmal dyspnea,"Paroxysmal dyspnea, or paroxysmal nocturnal dyspnea, is sudden shortness of breath that typically occurs during sleep, often linked to heart failure. This condition happens when lying down increases fluid accumulation in the lungs. Symptoms include waking up gasping for air and a feeling of suffocation. Treatment focuses on managing underlying heart or lung conditions, using medications to reduce fluid buildup, and lifestyle adjustments​"
peptic ulcer diseae,"Peptic ulcer disease involves sores or ulcers forming in the stomach lining or upper intestine, often due to H. pylori bacteria or long-term NSAID use. Symptoms include burning stomach pain, bloating, nausea, and, in severe cases, vomiting blood. Treatment generally involves antibiotics for bacterial infections, medications to reduce stomach acid, and lifestyle changes. Untreated ulcers can lead to complications like bleeding or perforation​"
pericardial effusion body substance,"Pericardial effusion is the accumulation of excess fluid around the heart in the pericardial sac, often caused by infections, inflammation, or injury. Symptoms can include chest pain, shortness of breath, and fatigue. Severe effusions can cause cardiac tamponade, a life-threatening compression of the heart. Treatment varies based on the cause but may involve drainage of fluid, medications, or surgery for recurrent cases"
peripheral vascular disease,"Peripheral Vascular Disease (PVD): PVD is a circulatory disorder where narrowed blood vessels reduce blood flow to limbs, often due to atherosclerosis. Symptoms include leg pain, cramping, and changes in skin color. Risk factors include smoking, diabetes, and high cholesterol. Treatments focus on lifestyle changes, medications, and in severe cases, procedures to improve blood flow. Left untreated, PVD can lead to complications like ulcers and infections"
personality disorder,"Personality disorders are mental health conditions that affect how people perceive themselves and others, leading to difficulties in relationships and everyday functioning. Types include borderline, narcissistic, and antisocial personality disorders, each with unique symptoms like emotional instability, impulsiveness, or detachment. Treatment often includes psychotherapy, medication, and support networks to improve behavior and coping skills​"
pneumocystis carinii pneumonia,"Pneumocystis Carinii Pneumonia (PCP): PCP is a serious fungal infection that primarily affects people with weakened immune systems, such as those with HIV/AIDS. It causes inflammation and fluid buildup in the lungs, leading to symptoms like shortness of breath, fever, and cough. Early detection is critical, as PCP can be life-threatening. Treatment involves antifungal medications, often combined with oxygen therapy, and preventive measures in high-risk individuals"
pneumonia aspiration,"Aspiration Pneumonia is a lung infection that occurs when foreign substances, such as food, liquid, saliva, or vomit, are inhaled into the lungs. This aspiration introduces bacteria or other particles into the lower respiratory tract, where they can cause inflammation and infection. Aspiration pneumonia is particularly common in individuals with swallowing difficulties, often due to neurological conditions such as stroke, dementia, or Parkinson’s disease. Other risk factors include advanced age, reduced consciousness, gastroesophageal reflux disease (GERD), and the use of sedatives or alcohol, which can impair the swallowing reflex.Symptoms of aspiration pneumonia are often similar to those of other types of pneumonia, including coughing (sometimes with sputum), fever, chills, chest pain, and difficulty breathing. In severe cases, the infection can lead to complications like lung abscesses or empyema, where pus accumulates in the pleural cavity. Diagnosis typically involves a physical examination, chest X-rays, and sputum cultures to identify the causative organisms."
pneumothorax,"A pneumothorax is when air gets inside your chest cavity and creates pressure against your lung, causing it to collapse partially or fully. Underlying medical conditions, injuries or medical procedures can cause it. Go to the nearest emergency department if you have symptoms of a pneumothorax, including difficulty breathing, chest pain or blue skin, nails or lips. Signs and symptoms of a pneumothorax include: Chest pain on one side, especially when taking breaths. Cough. Fast breathing. Fast heart rate. Fatigue. Shortness of breath (dyspnea). Bluish skin, lips or nails (cyanosis). If you have symptoms of a collapsed lung, go to the nearest emergency room. You may need immediate care."
primary carcinoma of the liver cells,"Primary Carcinoma of the Liver Cells (Hepatocellular Carcinoma) is a type of liver cancer that originates in the liver cells (hepatocytes). It is the most common form of liver cancer and is closely associated with chronic liver diseases, such as cirrhosis and chronic hepatitis B or C infections. Risk factors for developing hepatocellular carcinoma (HCC) include heavy alcohol consumption, non-alcoholic fatty liver disease (NAFLD), exposure to aflatoxins (toxins produced by certain molds), and genetic conditions such as hemochromatosis. It is most common in people with a history of liver disease and is more likely to occur in older adults.Symptoms of primary liver carcinoma may include jaundice (yellowing of the skin and eyes), unexplained weight loss, upper abdominal pain or discomfort, nausea, and swelling of the abdomen due to fluid buildup. In many cases, HCC is diagnosed late when symptoms become more severe, making early detection crucial. Diagnostic procedures include blood tests (such as alpha-fetoprotein levels), imaging tests (ultrasound, CT scan, or MRI), and biopsy for confirmation of the cancer type."
primary malignant neoplasm,"Malignant neoplasms, or cancerous tumors, occur when cells grow uncontrollably, invading nearby tissues and spreading. Symptoms vary depending on the type but may include unexplained weight loss, fatigue, lumps, or organ-specific symptoms. Factors like genetics, environment, and lifestyle contribute to cancer risk. Treatment typically includes surgery, chemotherapy, radiation, or targeted therapies, often tailored to the cancer’s type and stage​"
psychotic disorder,"Psychotic Disorder refers to a mental health condition characterized by a disconnection from reality, often manifesting as delusions, hallucinations, disorganized thinking, and impaired insight. These symptoms significantly affect a person's ability to function in daily life. Psychotic disorders can be caused by a variety of factors, including mental illnesses such as schizophrenia, mood disorders (e.g., bipolar disorder with psychotic features), substance abuse, or medical conditions like brain injuries or infections.Schizophrenia is one of the most well-known psychotic disorders, with symptoms like auditory hallucinations (hearing voices) and paranoid delusions. Delusional disorder, another type of psychotic disorder, involves fixed, false beliefs that are not rooted in reality, such as the belief that one is being persecuted or controlled by outside forces. Psychosis can also occur as a result of substance use or withdrawal (e.g., from drugs like cocaine or alcohol) or from medical conditions like tumors or neurological diseases."
pyelonephritis,"Pyelonephritis is a type of urinary tract infection (UTI) that involves the kidneys. It is typically caused by bacteria ascending from the bladder into the kidneys, leading to inflammation and infection. Common symptoms include fever, chills, nausea, vomiting, pain in the back or side (flank pain), painful urination, and cloudy or foul-smelling urine. In severe cases, pyelonephritis can lead to kidney damage or sepsis, a life-threatening condition caused by widespread infection in the bloodstream.Risk factors for pyelonephritis include having a history of urinary tract infections, urinary tract obstructions (such as kidney stones), anatomical abnormalities, and conditions like diabetes or a weakened immune system. Women are at higher risk, as they have a shorter urethra, making it easier for bacteria to reach the bladder and kidneys."
respiratory failure,"Respiratory failure is a condition in which your blood doesn't have enough oxygen or has too much carbon dioxide. Sometimes both problems occur. When you breathe, your lungs take in oxygen, which passes into your blood and is carried to your organs, such as the heart and brain, which need this oxygen-rich blood to function properly. Breathing also removes carbon dioxide from the blood. Too much carbon dioxide can harm organs. Symptoms of respiratory failure depend on the cause and the levels of oxygen and carbon dioxide in your blood. A low oxygen level can cause shortness of breath, air hunger (the feeling you can't breathe in enough air), and a bluish color to the skin, lips, and nails. A high carbon dioxide level can cause rapid breathing and confusion. Some people may become very sleepy or lose consciousness, and may experience arrhythmia (irregular heartbeat) if their brain and heart are not getting enough oxygen."
sepsis (invertebrate),"Sepsis is life threatening. It can be hard to spot. There are lots of possible symptoms, which can resemble those of other conditions, including flu or a chest infection. If you think you or someone you look after has symptoms of sepsis, call 999 or go to A&E. Trust your instincts."
sickle cell anemia,"Sickle cell anemia is a genetic blood disorder characterized by the production of abnormal hemoglobin, called hemoglobin S. This causes red blood cells to become rigid and shaped like a crescent (or sickle), which can block blood flow in small vessels, leading to pain, organ damage, and an increased risk of infections. The most common symptoms of sickle cell anemia include episodes of pain (known as sickle cell crises), fatigue, anemia (due to the destruction of sickle cells), and swelling in the hands and feet. It primarily affects individuals of African, Mediterranean, Middle Eastern, and Indian ancestry."
spasm bronchial,"Bronchial spasm, also known as bronchoconstriction, is the sudden constriction of the smooth muscles surrounding the airways, leading to difficulty breathing, wheezing, and coughing. This condition is common in asthma, chronic obstructive pulmonary disease (COPD), and bronchitis. Bronchial spasms can occur due to triggers like allergens, respiratory infections, cold air, or exercise. In asthma, bronchoconstriction is typically reversible with the use of bronchodilators, medications that relax the airway muscles. The symptoms of bronchial spasm can vary from mild wheezing and coughing to severe shortness of breath. During a spasm, the airways narrow, which impedes airflow and makes it hard for air to enter and leave the lungs. Managing bronchial spasms often involves the use of rescue inhalers (short-acting bronchodilators) and controlling underlying conditions with long-term medications such as inhaled corticosteroids or leukotriene inhibitors."
stenosis aortic valve,"Aortic valve stenosis (or aortic stenosis) happens when the aortic valve in your heart is narrowed or blocked. This interferes with the normal blood flow out of your heart, making your heart work harder and causing heart damage, major health problems, and even death. Replacing the valve is the best treatment and gives you a good prognosis. Aortic stenosis symptoms (progressing from less severe to more severe) include: Fatigue, which can disrupt your normal activities. Heart palpitations (being unpleasantly aware of your own heartbeat). Swelling in your feet, ankles, or lower legs. Chest pain (angina), which can also feel like squeezing, pressure or discomfort and can extend to your neck, jaw, arm or abdomen. Shortness of breath. Dizziness, lightheadedness or fainting. Your primary care provider may refer you to a cardiologist (heart doctor) if they suspect you have aortic stenosis."
suicide attempt,"A suicide attempt refers to an individual’s deliberate act of trying to end their own life, which may or may not result in injury or death. It is a serious mental health crisis and is often a manifestation of underlying issues such as depression, severe anxiety, or other psychiatric conditions. Warning signs can include extreme mood swings, withdrawal from social relationships, and expressions of hopelessness. Treatment for someone who has attempted suicide typically involves emergency medical care, psychological counseling, and long-term mental health support to address the root causes and reduce the risk of future attempts."
systemic infection,"A systemic infection is an infection that affects the entire body rather than a localized area. These infections can spread via the bloodstream or lymphatic system, often leading to symptoms like fever, chills, fatigue, and organ dysfunction. Common causes of systemic infections include bacteria, viruses, and fungi. In severe cases, sepsis may develop, which is a life-threatening response to infection. Prompt diagnosis and treatment with antibiotics, antifungals, or antiviral medications are essential, especially for infections like septicemia, which require immediate medical intervention."
tachycardia sinus,"Sinus tachycardia is a condition where the heart rate exceeds the normal resting rate, typically above 100 beats per minute in adults, originating from the sinus node, the natural pacemaker of the heart. It can occur as a response to various factors like fever, anxiety, physical activity, or blood loss. In some cases, it can be caused by underlying conditions such as anemia, hyperthyroidism, or heart disease. Treatment focuses on addressing the underlying cause, and in some cases, medications like beta-blockers may be used to control heart rate."
thrombocytopaenia,"Thrombocytopenia is a condition characterized by abnormally low levels of platelets in the blood, which can lead to increased bleeding and bruising. Causes can include bone marrow disorders, viral infections, autoimmune diseases, or certain medications. Symptoms can range from mild bruising to heavy bleeding, particularly in the gums or gastrointestinal tract. Treatment depends on the underlying cause and may include medications to increase platelet count, immune suppressants, or platelet transfusions in severe cases."
thrombus,"A thrombus is a blood clot that forms in a blood vessel and can obstruct blood flow, leading to conditions such as deep vein thrombosis (DVT) or pulmonary embolism (PE). Thrombosis can occur due to factors like injury to the blood vessel, slow blood flow, or changes in blood composition (such as in the case of clotting disorders). Symptoms depend on the location of the thrombus, but may include swelling, pain, redness, or difficulty breathing (in the case of a PE). Treatment typically involves anticoagulants (blood thinners) to prevent further clotting, and in some cases, clot-dissolving drugs or surgery."
tonic-clonic epilepsy,"Tonic-clonic epilepsy is a neurological condition characterized by recurrent seizures involving two phases: the tonic phase (muscle stiffening) and the clonic phase (muscle jerking). This type of epilepsy is often associated with generalized seizures, meaning that the abnormal electrical activity affects the entire brain. The seizures are typically caused by imbalances in neurotransmitters or brain abnormalities and may be triggered by factors like stress, sleep deprivation, or flashing lights.Symptoms include sudden loss of consciousness, followed by the body becoming stiff (tonic phase) and then jerking violently (clonic phase). After the seizure, individuals often experience confusion, fatigue, and headache. There may also be temporary memory loss and difficulty speaking or understanding language. The condition is usually managed with antiepileptic medications and sometimes lifestyle changes to reduce seizure triggers."
tonic-clonic seizures,"A tonic-clonic seizure is one of the most common types of generalized seizures, also known as grand mal seizures. It involves two stages: the tonic phase, where the muscles stiffen, followed by the clonic phase, where rapid, jerking movements of the body occur. These seizures can cause loss of consciousness, and the person may fall to the ground, leading to injury. They can last from 1 to 3 minutes and may be followed by confusion, exhaustion, or memory loss.Symptoms include loss of consciousness, muscle stiffening, jerking movements, biting the tongue, and incontinence. After the seizure, there is often a postictal period of confusion, fatigue, and disorientation. Treatment typically involves anticonvulsant medications and lifestyle modifications to prevent triggers."
tricuspid valve insufficiency,"Tricuspid valve insufficiency, also known as tricuspid regurgitation, is a heart valve disorder in which the tricuspid valve does not close properly, causing blood to leak backward into the right atrium of the heart. This condition can occur due to heart disease, infections, or structural problems with the valve.Symptoms may include fatigue, shortness of breath, swelling in the abdomen or legs, and heart palpitations. Severe cases can lead to right-sided heart failure, characterized by fluid retention and difficulty breathing. Treatment options include medications to manage symptoms, such as diuretics for fluid retention, and surgical interventions such as valve repair or replacement in more severe cases."
